API name,Main page link,Plan 1 name,Plan 1 link,Does plan 1 have an SLA?,Plan 1 SLA,Plan 2 name,Plan 2 link,Does plan 2 have an SLA?,Plan 2 SLA,Plan 3 name,Plan 3 link,Does plan 3 have an SLA?,Plan 3 SLA,Plan 4 name,Plan 4 link,Does plan 4 have an SLA?,Plan 4 SLA,Plan 5 name,Plan 5 link,Does plan 5 have an SLA?,Plan 5 SLA,Other plans,Metric 1 name,Metric 1 link,Metric 1 description,Is metric 1 domain dependent?,Does metric 1 have an explicit window?,Metric 1 window,Metric 2 name,Metric 2 link,Metric 2 description,Is metric 2 domain dependent?,Does metric 2 have an explicit window?,Metric 2 window,Metric 3 name,Metric 3 link,Metric 3 description,Is metric 3 domain dependent?,Does metric 3 have an explicit window?,Metric 3 window,Metric 4 name,Metric 4 link,Metric 4 description,Is metric 4 domain dependent?,Does metric 4 have an explicit window?,Metric 4 window,Metric 5 name,Metric 5 link,Metric 5 description,Is metric 5 domain dependent?,Does metric 5 have an explicit window?,Metric 5 window,Other metrics,Implicit metrics,Implicit metric description
Salesforce,https://www.salesforce.com/es/,Essentials,https://www.salesforce.com/es/editions-pricing/sales-cloud/,No,,Professional,https://www.salesforce.com/es/editions-pricing/sales-cloud/,No,,Enterprise,https://www.salesforce.com/es/editions-pricing/sales-cloud/,No,,Unimited,https://www.salesforce.com/es/editions-pricing/sales-cloud/,No,,,,,,,"Account management, contacts, candidates and opportunities",https://www.salesforce.com/es/editions-pricing/sales-cloud/,"Manage the full sales cycle, from the follow-up of candidates and sales opportunities until account management and individual contact data in one place.",Yes,No,,Email integration with Outlook or Gmail,https://www.salesforce.com/es/editions-pricing/sales-cloud/,Get a complete view of the interactions with customers and increase productivity by automatically synchronizing electronic mail with CRM data.,Yes,No,,Salesforce mobile application,https://www.salesforce.com/es/editions-pricing/sales-cloud/,"Access and update the CRM data from anywhere, collaborate with equipment and manage meetings, even offline.",Yes,No,,Registration of candidates and score of candidates based on rules,https://www.salesforce.com/es/editions-pricing/sales-cloud/,Capte candidates on the web and configure the automatic score of candidates to track appropriate candidates at the right time.,Yes,No,,Automation of workflows and approvals,https://www.salesforce.com/es/editions-pricing/sales-cloud/,Automate standard internal business approvals and processes just by pointing and clicking.,No,No,,https://www.salesforce.com/content/dam/web/es_es/www/datasheets/es-sales-cloud-pricing-comparison.pdf,Yes,"Limit of requests exceeded with State Code 403, where you have exceeded the limit of requests to the API in your ORG /// https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/ errorcodes.htm."
Scrive,https://www.scrive.com/,One,https://www.scrive.com/pricing/pricing-online/,No,,Team,https://www.scrive.com/pricing/pricing-online/,No,,Company,https://www.scrive.com/pricing/pricing-online/,Yes,Standard SLA,ENTERPRISE,https://www.scrive.com/pricing/pricing-online/,Yes,Extended SLA,,,,,,Users,https://www.scrive.com/pricing/pricing-online/,Maximum number of users,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
sendspace,https://www.sendspace.com/,Free,https://www.sendspace.com/premium_upgrade.html,No,,Pro base,https://www.sendspace.com/premium_upgrade.html,No,,Pro plus,https://www.sendspace.com/premium_upgrade.html,No,,,,,,,,,,,Share a group of files with a link,https://www.sendspace.com/premium_upgrade.html,Limit file shipments,Yes,No,,Direct download link bandwidth,https://www.sendspace.com/premium_upgrade.html,Limit bandwidth for downloads.,Yes,No,,File size,https://www.sendspace.com/premium_upgrade.html,Limit file size according to the plan that is chosen.,Yes,No,,,,,,,,,,,,,,,No,
Shodan,https://www.shodan.io/,Freelancer,https://account.shodan.io/billing,Yes,Email support,Small Business,https://account.shodan.io/billing,Yes,Email support,Corporate,https://account.shodan.io/billing,Yes,Premium support,Membership,https://account.shodan.io/billing/member,Not sure,,,,,,,Results available per month,https://account.shodan.io/billing,Maximum number of searches that can be done in a month,Yes,Yes,Query Credits Renew at The Start of the Month and Provide The Following Amount of Data .... (https://help.shodan.io/the-basics/credit-types-explained),IPS scanning capacity per month,https://account.shodan.io/billing,"Ability for network scanning, as well as that of the IP addresses of it.",No,Yes,Scan Credits Renew at the Start of the Month,,,,,,,,,,,,,,,,,,,,No,
Shodan,https://www.shodan.io/,Membership,https://account.shodan.io/billing,Not sure,,Freelancer,https://account.shodan.io/billing,Not sure,,Small Business,https://account.shodan.io/billing,Not sure,,Corporate,https://account.shodan.io/billing,Not sure,,Enterprise,https://account.shodan.io/billing,Not sure,,,Supervised IP,https://account.shodan.io/billing,Maximum number of IP that can be analyzed,Yes,Yes,The number of supervisable IP`s is restarted every month of membership renewal,Available Search Filters,https://account.shodan.io/billing,Number of search filters available,Yes,No,,Number of Users,https://account.shodan.io/billing,Number of users who can use the API with each subscription,No,No,,Limit of 1 Request Per Second,https://account.shodan.io/billing,Only one request can be processed to the API every second,No,No,,Query Credits (Per Month),https://account.shodan.io/billing,Number of credits available to make queries,Yes,No,,"Scan Credits (Per Month), https://account.shodan.io/billing, number of credits available to make IP`s scans, yes, yes, the number of credits from Renueva each month,
SHODAN SEARCH PAGES, https://account.shodan.io/billing, number of pages available to search, yes, no,
Results Per Month, https://account.shodan.io/billing, number of search results, yes, yes, the number of search results is renewed every month",Yes,"Returns the status of a scan request with these possible values: submission, tail, processing, made"
Shopify,https://shopify.dev/concepts/shopify-introduction,Basic Shopify,https://www.shopify.com/pricing?&term=shopify%20pricing&Network=Search&SiteTarget=&mt=e&adid=438802937962&adpos=&CampaignId=1082664225&gclid=Cj0KCQjwhr2FBhDbARIsACjwLo2lyarK6seiA316SeqN0tfXc7kA8vrajKUzO9MeMnrAtaBO0M1pQggaApYfEALw_wcB&gclsrc=aw.ds,Yes,24/7 support,Shopify,https://www.shopify.com/pricing?&term=shopify%20pricing&Network=Search&SiteTarget=&mt=e&adid=438802937962&adpos=&CampaignId=1082664225&gclid=Cj0KCQjwhr2FBhDbARIsACjwLo2lyarK6seiA316SeqN0tfXc7kA8vrajKUzO9MeMnrAtaBO0M1pQggaApYfEALw_wcB&gclsrc=aw.ds,Yes,24/7 support,Advanced Shopify,https://www.shopify.com/pricing?&term=shopify%20pricing&Network=Search&SiteTarget=&mt=e&adid=438802937962&adpos=&CampaignId=1082664225&gclid=Cj0KCQjwhr2FBhDbARIsACjwLo2lyarK6seiA316SeqN0tfXc7kA8vrajKUzO9MeMnrAtaBO0M1pQggaApYfEALw_wcB&gclsrc=aw.ds,Yes,24/7 support,,,,,,,,,,Request-Based Limits,https://shopify.dev/concepts/about-apis/rate-limits#rate-limiting-methods,"There is a fixed number of Request per minute, these are 40",Yes,No,,Time-based Limits,https://shopify.dev/concepts/about-apis/rate-limits#rate-limiting-methods, Applications can make requests that require a maximum amount of time per minute,Yes,No,,Points,https://shopify.dev/concepts/about-apis/rate-limits#rate-limiting-methods,"Applications can make requests that cost a maximum number of points per minute. For example: 1000 points in 60 seconds. The most complex requests cost more points and, therefore, occupy a proportionally greater part of the limit.",Yes,No,,MAXIMUM INPUT ARRAY SIZE LIMIT,https://shopify.dev/concepts/about-apis/rate-limits#rate-limiting-methods,Maximum number of elements that an array can have,No,No,,Single Query Limit,https://shopify.dev/concepts/about-apis/rate-limits#rate-limiting-methods,Maximum cost of a Query in Points,No,No,,Graphql response,No,"By the GRAPHQL Key Extension, the cost of a Query can be returned and thus supply its cost to increase or lower it as appropriate under the limits of the other metrics"
Shutterstock,https://www.shutterstock.com/,Free,https://www.shutterstock.com/es/api/pricing,No,,Estándar,https://www.shutterstock.com/es/api/pricing,Yes,Email support,Business,https://www.shutterstock.com/es/api/pricing,Yes,Priority technical support,,,,,,,,,,Number of images available,https://www.shutterstock.com/es/api/pricing,It tells us the number of images that we can access at most depending on our license.,Yes,No,,Max licensing per month,https://www.shutterstock.com/es/api/pricing,It tells us how much we are going to pay for image that we upload,Yes,No,,Max. of API requests per minute,https://www.shutterstock.com/es/api/pricing,It is the maximum number of requests that we can make to an API for every minute depending on the plan we encourage.,No,No,,Max. of search results that are displayed,https://www.shutterstock.com/es/api/pricing,"As its own name suggests, it informs us of the maximum amount of results we will obtain by search.",Yes,No,,,,,,,,,Not sure,
Similarweb,https://www.similarweb.com/,Search Marketing Package,https://www.similarweb.com/corp/pricing-global/,No,,Affiliate Marketing Package,https://www.similarweb.com/corp/pricing-global/,No,,Display Marketing Package,https://www.similarweb.com/corp/pricing-global/,No,,Premium,https://www.similarweb.com/corp/pricing-global/,Yes,24/7 support,,,,,,Users,https://www.similarweb.com/corp/pricing-global/,Number of users,No,No,,Countries,https://www.similarweb.com/corp/pricing-global/,Number of country filters,No,No,,,,,,,,,,,,,,,,,,,,,No,
Slack,https://app.slack.com/plans/T98L0R2T1,Pro,https://app.slack.com/plans/T98L0R2T1,No,,Business+,https://app.slack.com/plans/T98L0R2T1,Yes,99.99% availability,Enterprise Grid,https://app.slack.com/plans/T98L0R2T1,No,,,,,,,,,,,Storage,https://app.slack.com/plans/T98L0R2T1,Limited storage by member,No,No,,Requests to the API,https://api.slack.com/docs/rate-limits,Number of requests that can be made according to the plan,No,No,,MESSAGES POST,https://api.slack.com/docs/rate-limits#rate-limits__limits-when-posting-messages,Number of messages sent by channel,Yes,No,,Profile update,https://api.slack.com/docs/rate-limits#profile_updates,Number of times you can perform an update user profile.,No,No,,,,,,,,,No,
Smugmug,https://www.smugmug.com/,Basic,https://www.smugmug.com/plans,Yes,"Unlimited full-resolution storage, 24/7 support from real humans",Power,https://www.smugmug.com/plans,Yes,"Unlimited full-resolution storage, 24/7 support from real humans",Portfolio,https://www.smugmug.com/plans,Yes,"Unlimited full-resolution storage, 24/7 support from real humans",Pro,https://www.smugmug.com/plans,Yes,"Unlimited full-resolution storage, 24/7 support from real humans",,,,,,Design Templates,https://www.smugmug.com/plans,Design templates that are already made,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Not sure,
SoundCloud,https://developers.soundcloud.com/,Free Plan ,https://developers.soundcloud.com/docs/api/terms-of-use#commercial,No,,,,,,,,,,,,,,,,,,,15000 requests per window every 24h,https://developers.soundcloud.com/docs/api/rate-limits,Maximum number of requests every 24 hours,No,Yes,"24 hours from the first request to the API, at 24 hours, the request counter is restarted.",,,,,,,,,,,,,,,,,,,,,,,,,,No,
sportradar,https://www.sportradar.com/,Real-Time,https://developer.sportradar.com/API_Packaging#Sport_packages,Yes,Support 24/7/365,Premium,https://developer.sportradar.com/API_Packaging#Sport_packages,Yes,Support 24/7/365,Standard,https://developer.sportradar.com/API_Packaging#Sport_packages,Yes,Support 24/7/365,Basic,https://developer.sportradar.com/API_Packaging#Sport_packages,Yes,Support 24/7/365,,,,,,Game Feeds/Time Unit,https://developer.sportradar.com/API_Packaging,Time it takes to re-extract the game feeds.,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Limitation of calls per second from a particular account key. https://developer.sportradar.com/docs/read/home#faqs.
Surveymonkey,https://es.surveymonkey.com/,Yearly Advanced Individual,https://es.surveymonkey.com/pricing/individual/?ut_source=pricing-teams-details&ut_source3=megamenu,No,,Yearly Premier Individial,https://es.surveymonkey.com/pricing/individual/?ut_source=pricing-teams-details&ut_source3=megamenu,No,,Monthly Standard Individual,https://es.surveymonkey.com/pricing/individual/?ut_source=pricing-teams-details&ut_source3=megamenu,No,,Advanced Team,https://es.surveymonkey.com/pricing/teams/?ut_source=pricing-indv-details&ut_source3=megamenu,No,,Premier Team,https://es.surveymonkey.com/pricing/teams/?ut_source=pricing-indv-details&ut_source3=megamenu,No,,,Number of unlimited surveys,https://es.surveymonkey.com/pricing/teams/details/,"Send the surveys, voting and tests you need.",Yes,No,,All languages ​​are allowed,https://es.surveymonkey.com/pricing/teams/details/,"Create surveys in any language. You can write on Unicode or multibyte languages, and choose the navigation buttons, help text and error messages in 58 languages.",Yes,No,,Data trend,https://es.surveymonkey.com/pricing/teams/details/,See the trends of the results over time to detect changes at the time they occur.,Yes,No,,Validation of answers,https://es.surveymonkey.com/pricing/teams/details/,Make sure that the text of the responses of the survey meets the format and content criteria that you established.,Yes,No,,Send surveys,https://es.surveymonkey.com/pricing/teams/details/,Send surveys easily using powerful third-party integration tools.,Yes,No,,,Yes,"With a free plan, you can compile more than 40 answers, but you can only see the first 40. Expand your plan at any time to access additional responses. Our monthly standard plan includes 1000 answers by monthly billing cycle in all your surveys with a charge of € 0.10 per additional response compiled. Annual plans include a number of responses ranging from 4000 to 15,000 per year. https://es.surveymonkey.com/pricing/teams/details/"
TheGuardian,https://open-platform.theguardian.com/,Developer,https://open-platform.theguardian.com/access/,No,,Commercial,https://open-platform.theguardian.com/access/,No,,,,,,,,,,,,,,,Requests per second,https://open-platform.theguardian.com/access/,Maximum number of requests that can be made per second.,No,No,,Petitions per day,https://open-platform.theguardian.com/access/,Maximum number of requests that can be made in a day.,No,No,,Access to content types,https://open-platform.theguardian.com/access/,"Access to different types of content as an article, image, Audi, etc ...",Yes,No,,Parts of contents,Piezas de contenido,Access to a maximum number of content parts.,Yes,No,,,,,,,,,No,
Trello,https://trello.com/es,Free,https://trello.com/es/pricing,Yes,99.9% availability,Business Class,https://trello.com/es/pricing,Yes,99.9% availability,Enterprise,https://trello.com/es/pricing,Yes,99.9% availability,,,,,,,,,,Boards,https://trello.com/es/pricing,Number of boards that provides the plan,Yes,No,,Unlimited storage,https://trello.com/es/pricing,Storage per file Provided by the plan (MB / file),No,No,,Command executions,https://trello.com/es/pricing,Number of automated command executions per month,Yes,No,,,,,,,,,,,,,,,Yes,"Limit of requests available by a time interval, https://help.trello.com/article/838-api-rate-limits"
Trustpilot,https://business.trustpilot.com/,Free Plan,https://business.trustpilot.com/plans,Yes,"99.99% availability, email support and help center",Standard Plan,https://business.trustpilot.com/plans,Yes,"99.99% availability, email and chat support",,,,,,,,,,,,,,TrustBoxes,https://es.business.trustpilot.com/plans,Number of TrustBoxes available by the client.,Yes,No,,Automated review invitation service,https://business.trustpilot.com/plans/compare,Maximum number of automatic sending of invitations to be reviewed per month,Yes,No,,,,,,,,,,,,,,,,,,,,,No,
Twilio,https://sendgrid.com/pricing/,Free,https://sendgrid.com/pricing/,Yes,Ticket support,Essentials,https://sendgrid.com/pricing/,Yes,Guaranteed response times on Ticket & Chat support,Pro,https://sendgrid.com/pricing/,Yes,"Guaranteed response times on Ticket, Chat, & Phone support",Premier,https://sendgrid.com/pricing/,Yes,Custom pricing,,,,,,Email Validations,https://sendgrid.com/pricing/,Maximum number of email validations,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
Twitch,https://www.twitch.tv,Gift card,https://www.twitch.tv/p/es-es/giftcard/,No,,Bits,https://www.twitch.tv/bits,No,,Turbo,https://www.twitch.tv/turbo,No,,Channel subscription,https://www.twitch.tv/p/partners/,No,,Advertising,https://twitchadvertising.tv/contact/,No,,,Saving time of emissions,https://www.twitch.tv/turbo,Twitch offers a saving time of 60 days,No,No,,Subscriptions,https://www.twitch.tv/p/partners/,Up to 3 subscriptions to additional free channels,No,No,,Affiliates,https://www.twitch.tv/p/partners/,Streamers that complete achievement path to partner in their achievement panel will unlock a button to request the association and receive priority for their request.,No,No,,Monetization,https://www.twitch.tv/p/partners/," Twitch partners can get income by accepting subscriptions of their viewers. Subscription options are: $ 4.99, $ 9,99, $ 24,99",No,No,,Customization of the Channel,https://www.twitch.tv/p/partners/, Partners can unlock up to 50 emoticon spaces,No,No,,,Not sure,
Upwork,https://www.upwork.com/,Basic,https://www.upwork.com/i/pricing/,Yes,Customer Support,Plus,https://www.upwork.com/i/pricing/,Yes,Customer Support Premium,,,,,,,,,,,,,,Weekly invoices per hour,https://www.upwork.com/legal#escrow-hourly,"For the contracts per hour, the weekly billing cycle begins on Monday at 00:00 at midnight UTC and ends on Sunday at 23:59 UTC.",Yes,No,,The maximum amount of coverage,https://www.upwork.com/legal#escrow-hourly,The maximum number of coverage that can be made between the same client and autonomous,Not sure,No,,Cache content,https://www.upwork.com/legal#api,The developer can cache the UPWORK content for no more than twenty-four (24) hours.,No,Yes,It is restarted every 24 hours,,,,,,,,,,,,,,No,
Whoisxmlapi,https://main.whoisxmlapi.com/api-packages/enterprise-api-package,Free,https://whois.whoisxmlapi.com/pricing,Not sure,,One-time purchase,https://whois.whoisxmlapi.com/pricing,Not sure,,Monthly subscription,Monthly subscription ,Not sure,,,Yearly subscription,Not sure,,,,,,,Queries per month,https://whois.whoisxmlapi.com/pricing,"Depending on the price to pay, you have a maximum number of queries per month",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
Wine-searcher,https://www.wine-searcher.com/,Price Check API,https://www.wine-searcher.com/api,Not sure,,Marketplace API,https://www.wine-searcher.com/api,Not sure,,,,,,,,,,,,,,,Calls,https://www.wine-searcher.com/api,calls that are made to the system,Yes,Yes,https://www.wine-searcher.com/api,Average price,https://www.wine-searcher.com/api,Checking the average price,Yes,No,,Maximum price,https://www.wine-searcher.com/api,Maximum price check,Yes,No,,Region,https://www.wine-searcher.com/api,Maximum price check,Yes,No,,Crittency Aggregate of Wine-Searcher,,,,,,,No,
WolframAlpha,https://www.wolframalpha.com/,Basic,https://www.wolframalpha.com/pro/pricing,No,,Pro,https://www.wolframalpha.com/pro/pricing/,No,,Pro Premium,https://www.wolframalpha.com/pro/pricing/,Yes,Priority expert support,,,,,,,,,,Limit load of file size with instant analysis,https://www.wolframalpha.com/pro/pricing/,Maximum up size of a file.,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
Youtube,https://developers.google.com/youtube/v3/determine_quota_cost,YouTube Data API,https://developers.google.com/youtube/v3/determine_quota_cost,Not sure,Support via StackOverflow,,,,,,,,,,,,,,,,,,Supported operations,https://developers.google.com/youtube/v3/getting-started,List with the allowed operations of the API,No,No,https://developers.google.com/youtube/v3/determine_quota_cost,Reading operations,https://developers.google.com/youtube/v3/getting-started,Number of reading operations,No,No,,Writing operations,https://developers.google.com/youtube/v3/getting-started,Number of writing operations,No,No,,Video uploads,https://developers.google.com/youtube/v3/getting-started,Number of video uploads,Yes,No,,,,,,,,,No,
Zamzar,https://developers.zamzar.com/pricing,TEST,https://developers.zamzar.com/pricing,Yes,72 hours response time,STARTUP,https://developers.zamzar.com/pricing,Yes,48 hours response time,GROWTH,https://developers.zamzar.com/pricing,Yes,48 hours response time,SCALE,https://developers.zamzar.com/pricing,Yes,24 hours response time,,,,,,Conversion credits,https://developers.zamzar.com/pricing,Number of conversions per month,Yes,No,,Maximum size of the file,https://developers.zamzar.com/pricing,Maximum size of the file to convert,Yes,No,,Storage time,https://developers.zamzar.com/pricing,Days that are kept stored files,No,No,,,,,,,,,,,,,,,Yes,"Limit requests by type and per second, https://developers.zamzar.com/docs"
Zendesk,https://www.zendesk.es/,Suite Team,https://www.zendesk.es/pricing/#everyone,Yes,"Email, phone, SMS and chat support",Suite Growth,https://www.zendesk.es/pricing/#everyone,Yes,"Email, phone, SMS and chat support",Suite Professional,https://www.zendesk.es/pricing/#everyone,Yes,"Email, phone, SMS and chat support",Suite Enteprise,https://www.zendesk.es/pricing/#enterprise,Yes,"Email, phone, SMS and chat support","Suite ""Mas""",https://www.zendesk.es/pricing/#enterprise,Yes,As needed,,Type of subscription,https://www.zendesk.es/pricing/#everyone,Monthly subscription: € 49 and annual subscription: € 59,Yes,No,,Type of subscription,https://www.zendesk.es/pricing/#everyone,Monthly subscription: € 79 and annual subscription: € 99,,No,,Type of subscription,https://www.zendesk.es/pricing/#everyone,Monthly subscription: € 99 and annual subscription: 125 €,Yes,No,,Type of subscription,https://www.zendesk.es/pricing/#everyone,Monthly subscription: € 150 and annual subscription: 199 €,Yes,No,,Type of subscription,https://www.zendesk.es/pricing/#everyone,Subscription for companies from € 215,Yes,No,,,No,
Zoom,https://zoom.us/,Basic,https://zoom.us/pricing,Yes,Help center,Pro,https://zoom.us/pricing,Yes,Live chat and tickets,Business,https://zoom.us/pricing,Yes,"Live chat and tickets, phone support",Enterprise,https://zoom.us/pricing,Yes,"Live chat and tickets, phone support",,,,,,Capacity of participants,https://zoom.us/pricing,Number of participants staying,No,No,,Meeting time,https://zoom.us/pricing,Duration time of video calls,No,No,,Storage in the cloud of recordings,https://zoom.us/pricing,Maximum storage size available to save meetings,No,No,,,,,,,,,,,,,,,Yes,"The rate limits define the maximum number of requests that you can make a single account in a given period of time. When a limit is exceeded, an API request will fail and an HTTP 429 status code will be returned"
